                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.3688,                 1.9287,                 1.0093,                 1.6493,                0.71669,                0.57778,                0.65374,                0.37403,                0.72367,                 0.5645,                 0.6408,                0.34604,                 1.5469,                 2.2393,                 1.3093,                 1.9025,              0.0013961,              0.0013961,              0.0013961
                     64,                  1.374,                 1.9931,                 1.0402,                 1.6587,                0.78352,                0.57333,                 0.6727,                0.38094,                 0.8106,                0.51111,                0.64454,                0.33674,                 1.6004,                 2.2154,                  1.277,                 1.9295,              0.0013862,              0.0013862,              0.0013862
                     65,                 1.3437,                 1.9026,                 1.0045,                 1.6577,                0.79604,                0.55333,                0.63926,                0.37548,                0.78121,                0.55111,                0.62459,                0.33911,                 1.5428,                 2.2224,                  1.373,                   1.87,              0.0013763,              0.0013763,              0.0013763
                     66,                 1.4106,                 1.9967,                   1.05,                 1.6828,                0.78831,                0.57926,                0.66112,                0.40107,                0.75231,                0.57371,                0.64978,                0.35833,                 1.5517,                 2.3141,                 1.3356,                 1.9026,              0.0013664,              0.0013664,              0.0013664
                     67,                 1.3593,                 1.9894,                 1.0091,                 1.6723,                 0.7947,                0.58222,                0.68364,                0.41704,                0.78913,                 0.5738,                0.66413,                0.36503,                 1.4812,                 2.1641,                 1.1882,                 1.8517,              0.0013565,              0.0013565,              0.0013565
                     68,                 1.2878,                 1.9233,                0.97281,                 1.6132,                0.77389,                0.61333,                0.68533,                0.41158,                0.77109,                0.61111,                0.67909,                0.36288,                 1.5028,                 2.1812,                 1.2711,                 1.8563,              0.0013466,              0.0013466,              0.0013466
                     69,                 1.3185,                 1.9158,                0.97893,                 1.6043,                0.76595,                    0.6,                0.67996,                0.41486,                0.79662,                0.57778,                0.67158,                0.37108,                 1.4794,                 2.2012,                 1.2267,                 1.8498,              0.0013367,              0.0013367,              0.0013367
                     70,                 1.3613,                 1.8829,                0.98984,                 1.6266,                0.80271,                0.61481,                0.68276,                0.41642,                0.79858,                0.61675,                0.68096,                0.37004,                 1.4787,                 2.1194,                 1.1684,                 1.8588,              0.0013268,              0.0013268,              0.0013268
                     71,                 1.3289,                 1.9354,                0.98744,                 1.6196,                0.77344,                    0.6,                 0.6847,                 0.4135,                0.78615,                0.58004,                0.65876,                0.35741,                 1.4765,                 2.1822,                 1.1804,                 1.8225,              0.0013169,              0.0013169,              0.0013169
                     72,                 1.2774,                 1.8998,                 0.9336,                 1.5795,                0.71297,                0.61778,                0.68662,                0.41689,                0.75287,                0.59556,                 0.6767,                0.36135,                 1.4328,                 2.1741,                 1.2166,                 1.8031,               0.001307,               0.001307,               0.001307
